행정동,점포수,연도별_평균_상권_매출금액,연도별_주중_평균_상권_매출금액,연도별_주말_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액,연도별_화요일_평균_상권_매출금액,연도별_수요일_평균_상권_매출금액,연도별_목요일_평균_상권_매출금액,연도별_금요일_평균_상권_매출금액,연도별_토요일_평균_상권_매출금액,연도별_일요일_평균_상권_매출금액,연도별_00_06_시간대_평균_상권_매출금액,연도별_06_11_시간대_평균_상권_매출금액,연도별_11_14_시간대_평균_상권_매출금액,연도별_14_17_시간대_평균_상권_매출금액,연도별_17_21_시간대_평균_상권_매출금액,연도별_21_24_시간대_평균_상권_매출금액,연도별_남성_평균_상권_매출금액,연도별_여성_평균_상권_매출금액,연도별_10대_평균_상권_매출금액,연도별_20대_평균_상권_매출금액,연도별_30대_평균_상권_매출금액,연도별_40대_평균_상권_매출금액,연도별_50대_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액
광장동,8.277486910994764,100146.7741847584,102751.53494723329,71435.60346439996,87921.68843192662,95196.51554037191,77764.96807350477,111598.44678837682,77369.22770777045,75093.67401518697,39953.68635558442,43265.50040735189,84560.3359760717,109610.64141896903,83597.44287880778,89964.14336039755,69199.15634952871,86466.06181017516,76656.16194890853,15081.316169701846,49341.276437768516,69147.09509923504,109090.66492062794,77079.58732639166,96842.86519340429
구의1동,13.746753246753247,94183.53604455278,92867.52872326717,74451.65791352461,78251.61861822459,85663.01677944927,74668.97503305505,73733.9639410921,85177.30325089087,71832.83031938165,66822.41078299913,71224.15476756658,92581.62456076963,96070.28222850633,77555.0234892385,75583.92742617278,86698.5094556283,81607.19127825787,85408.13755012209,19616.52856283465,44875.21868390839,69144.94267160515,86488.66207633221,93398.47726722393,72667.42147131945
구의2동,4.961165048543689,83478.24465473682,82998.33378342184,32979.25404093906,73803.05057024455,78857.1377496794,69912.11606290979,41052.707616731364,35480.1732919441,33417.0370962376,20753.302036023917,32895.56705020247,24333.27828135227,120513.4286108991,79116.70706034247,73462.94632075084,24142.013252976496,97359.03495616792,85465.68054725032,16104.577327197656,18440.74383528596,38118.04033020971,109453.9217685302,73594.89829859252,31950.19729486837
구의3동,16.994718309859156,112389.0945601635,114326.54373361178,98450.23560589258,101685.10034381649,114077.27762292005,111010.3078593936,108430.9275095905,100907.53301024852,99921.53805871654,80673.44473367745,53011.39540703038,90860.31323843906,101969.30535026817,106630.72174494893,112384.27599479245,107030.63220350599,100041.16757285029,110806.52215524431,0.0,0.0,0.0,119717.18602372178,120265.74012097775,0.0
군자동,19.695417789757414,111136.01048395588,114921.34372244168,79904.35273372421,112781.00804851517,88364.05057851596,104039.85124767585,103559.98096430484,105927.52390695647,82570.94794007203,68452.10601417418,39381.66910935215,88635.55331679372,108481.96472396981,110725.52470211445,100869.63954579284,108832.4944550178,107521.00518294275,95465.85477318882,25978.911054976987,76266.84033545866,94002.7608108747,115193.03810946207,96348.85547995853,90566.24977818712
능동,12.922222222222222,152537.5400126911,156077.09842342846,120862.31423783308,135576.28327106137,130042.67432931339,168404.69465757746,150075.54808105246,164929.09154779158,104626.15664722724,112993.77849101956,35912.567699625084,169153.74732465154,154712.1393720167,161012.4716846776,119557.1185628384,124975.71095329554,155581.13786424344,133175.8693667007,18661.107526244192,81035.81341554693,110291.67447333918,171829.09666425263,150717.02615552486,110337.42457096165
자양1동,12.217488789237668,101296.76179473115,100367.39538485529,53353.14776057308,94341.53132518665,75428.85627802092,78347.21419204261,117890.2892794883,123570.08653716787,48762.92244149863,48990.50385280927,37225.48895670111,97135.93992752465,78600.75567927734,90910.56240486824,57014.674955517425,53166.20036119233,80793.71651995201,61518.825713808554,17807.659767127596,38345.454034757735,57155.40594003997,56048.52327246993,75246.70923582194,63642.50695406055
자양2동,7.550976138828633,77888.89779001348,78991.72981503705,59409.547997431015,66614.17204160734,66249.9965544744,72515.50705781583,61596.527322226386,70003.15699565143,59343.69385721545,41308.712961610974,36826.48797252299,61334.675912017105,62558.8831018101,70677.30767157374,69244.911067979,51488.65431102076,80039.80159644112,70057.68898489015,13462.444764297423,27630.41342093056,50025.79047016464,72216.74115300771,61860.74213338733,59024.13160299367
자양3동,6.92831541218638,67405.82081115141,68288.6374167722,58183.413098169345,55756.643176349644,65365.29832636078,61125.820221874055,65084.27674990804,57196.190660058295,55836.73590233251,48320.90350408172,42833.14244962346,38519.315920640576,63990.48887283697,65926.66666727692,63831.26755645799,46322.29284404456,59823.294548485006,64092.19806939634,22338.289513292046,38109.573737552186,48764.61253023586,64913.056484873,54816.83396871113,52139.70082813075
자양4동,8.767494356659142,92678.99577704439,94461.35589998146,59622.97278197097,86703.63313905633,89947.7347009009,80406.61625048667,84219.1638991251,89627.84347268316,59772.31200715054,43176.2280057913,67137.65683117016,89314.7147783162,89056.54314635508,92151.11208446996,89232.89016465949,65770.09497157329,75348.99722067924,92954.5450038865,26786.585857087455,60226.05017322569,65533.11501651687,81600.17175993527,81926.1394070373,69122.55317366247
중곡1동,10.110266159695817,93385.55742113641,89817.4438285396,62203.86386698133,59655.948533193674,70969.92384764044,67452.35702212989,57059.49529260347,78345.0440495248,63123.33546275155,43723.20587043701,49615.136897505356,70763.02000435501,74185.64455689625,86720.8277780754,55763.326725635256,63202.682511097526,71341.99404228352,79597.95180576382,13587.104460906536,30269.199020790464,41954.06876835476,91661.62283259333,60117.67979887459,59926.82665132818
중곡2동,7.932475884244373,68972.78695145836,68423.62640446152,47156.395045608355,64916.953529530176,0.0,66055.9177265476,58841.72176170455,58848.06041913398,45558.4268764592,44484.9203229244,36707.14879111102,45586.06628447651,64341.089990157394,0.0,61415.42006476102,46156.077593638656,61520.063101047046,68490.01155931849,0.0,30666.61095575165,48627.08589518074,62788.27698071843,65570.0056852531,45670.79260530419
중곡3동,8.598639455782314,74954.00531446461,75615.75180310554,47289.77571784808,55708.74945701315,57026.026722605864,69564.70495981169,57221.29408498907,52727.99121632716,48854.63060843788,36828.166301368634,37867.657500427274,47842.05570925263,58978.33167850539,68922.41045109797,62280.39533505366,54274.12284341513,69465.76403387653,64392.60809818994,10088.823183788283,36999.00595330701,45487.38520080136,72263.45498851493,71475.61132250124,47949.247557629446
중곡4동,6.49793388429752,95957.43854095406,97845.81676487709,47009.306203131186,93411.27734526887,69388.80719961034,94299.3588446722,69077.49825122746,60500.49473087493,46019.46881245314,41807.11957777964,59817.11009208205,57021.444460416504,108728.57397240766,81543.65427450459,75709.77130557911,45263.36287293545,72284.8213585844,69927.87271934818,11944.822658940651,47158.57492783859,53484.004564075454,70280.73001337149,68412.11110355522,67087.18679813578
화양동,21.12104539202201,77545.18619833961,79899.14429278666,47681.134870256654,71069.60183223193,85289.52972199027,66366.36229679617,78082.05488634286,61297.555009222975,49093.89301116759,36438.79099978444,35716.89006116679,50312.598828667375,61806.81798631584,76852.87591468121,66372.74653080665,57966.54305979003,60981.682921794316,73418.92111596973,25732.1763018946,46000.03448459891,64578.33258858958,80208.06184310737,72991.15412892513,50395.12111520393
