행정동,연도별_남성_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액,월세거래수,다가구주택_전세거래수,연도별_토요일_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액
화양동,0.18043542,0.19600877,0.16181481,0.121986106,0.19222306,0.21491104
군자동,0.31813812,0.35225195,0.10450277,0.13075635,0.32329968,0.34104434
중곡1동,0.21109,0.23308176,0.29744068,0.3768547,0.24715418,0.1803967
중곡2동,0.18202841,0.17763378,0.29744068,0.3768547,0.17838024,0.19630574
중곡3동,0.20553851,0.18649569,0.29744068,0.3768547,0.19128625,0.16846056
중곡4동,0.21387967,0.26093155,0.29744068,0.3768547,0.1801854,0.28247118
능동,0.46034068,0.42915073,0.08008505,0.08876549,0.409655,0.40997612
광장동,0.2558398,0.37666446,0.041623984,0.01674319,0.29402304,0.26587093
자양1동,0.23905618,0.24753368,0.30768853,0.257792,0.19092716,0.28528425
자양2동,0.23682547,0.22957079,0.30768853,0.257792,0.2323553,0.20143804
자양3동,0.17700793,0.20279421,0.30768853,0.257792,0.2186241,0.1686054
자양4동,0.22294609,0.26884797,0.30768853,0.257792,0.23403351,0.2621876
구의1동,0.24146312,0.28263554,0.27213734,0.20490476,0.28125548,0.23662911
구의2동,0.2880704,0.12426836,0.27213734,0.20490476,0.13084163,0.22317687
구의3동,0.29600644,0.0,0.27213734,0.20490476,0.3912345,0.30749083
