행정동,인구,세대수,성비,면적,가구수,one,출생건수,사망건수,혼인건수,이혼건수,인력수,차량수,1인세대수,면적대비1인세대,외국인비율,인구밀도,세대당인구,출생률,사망률,혼인률,이혼률,one비율,인구대비one,면적대비one
화양동,22658,17061,          0.90,1.16,16621,12704,37.0,71.0,108.0,35.0,6.8,2.43,13689.0,11800.862068965518,0.1646659016682849,19532.758620689656,1.3280581443057264,1.63297731485568,3.1335510636419808,4.766528378497661,1.544708270809427,0.7643342759160099,0.5606849677817989,10951.724137931034
군자동,19930,11166,          0.98,0.74,10235,5546,85.0,99.0,92.0,29.0,4.53,1.63,6562.0,8867.567567567568,0.1368790767686904,26932.432432432433,1.7848826795629589,4.264927245358756,4.967385850476669,4.616156547917712,1.455092824887105,0.5418661455788959,0.278273958855996,7494.594594594595
중곡1동,15792,8338,          0.95,0.62,7345,3282,95.0,70.0,137.0,27.0,6.41,2.23,4309.0,6950.0,0.0380572441742654,25470.967741935485,1.8939793715519309,6.015704154002027,4.432624113475177,8.675278622087133,1.709726443768997,0.4468345813478557,0.20782674772036475,5293.548387096775
중곡2동,21943,10621,          0.90,0.55,9615,3780,94.0,103.0,120.0,32.0,4.44,1.6,4773.0,8678.181818181818,0.0252472314633368,39896.36363636363,2.066001318143301,4.2838262771726745,4.693979856901973,5.468714396390648,1.4583238390375062,0.39313572542901715,0.17226450348630543,6872.727272727272
중곡3동,16683,8572,          0.99,0.6,7555,3144,69.0,93.0,85.0,33.0,6.01,2.09,4244.0,7073.333333333334,0.0236767967391955,27805.0,1.946220251983201,4.13594677216328,5.574536953785291,5.09500689324462,1.9780614997302643,0.41614824619457313,0.18845531379248337,5240.0
중곡4동,29387,13264,          0.96,2.32,11930,3747,143.0,133.0,121.0,61.0,5.79,2.06,5115.0,2204.741379310345,0.0195324463198012,12666.810344827587,2.215545838359469,4.866097253887774,4.52581073263688,4.1174669071358085,2.075747779630449,0.3140821458507963,0.1275053595127097,1615.0862068965519
능동,11610,6511,          0.85,1.1,6044,3251,74.0,50.0,83.0,20.0,4.49,1.57,3752.0,3410.9090909090905,0.0337639965546942,10554.545454545454,1.7831362309937029,6.373815676141258,4.306632213608958,7.14900947459087,1.7226528854435832,0.5378888153540702,0.2800172265288544,2955.454545454545
광장동,35440,12073,          0.93,2.39,11150,1501,139.0,80.0,85.0,24.0,6.96,2.44,2295.0,960.2510460251044,0.0084650112866817,14828.451882845187,2.935475855214114,3.9221218961625284,2.2573363431151243,2.3984198645598194,0.6772009029345373,0.13461883408071748,0.04235327313769752,628.0334728033472
자양1동,22790,11869,          0.92,0.57,10495,4616,92.0,124.0,116.0,38.0,5.1,1.83,6190.0,10859.64912280702,0.0659499780605528,39982.45614035088,1.9201280647063779,4.036858271171567,5.440982887231242,5.089951733216323,1.6673979815708644,0.43982848975702715,0.20254497586660816,8098.245614035089
자양2동,25641,11217,          0.95,1.68,10163,3098,113.0,94.0,114.0,37.0,6.86,2.41,4160.0,2476.190476190476,0.0254280254280254,15262.5,2.2859053222786843,4.407004407004408,3.6660036660036663,4.446004446004446,1.443001443001443,0.3048312506149759,0.12082212082212082,1844.047619047619
자양3동,28687,11178,          0.92,1.2,10044,2131,154.0,108.0,137.0,38.0,6.8,2.39,3089.0,2574.166666666667,0.0165928817931467,23905.833333333336,2.566380390051888,5.3682852860180565,3.7647714992853905,4.775682364834245,1.3246418238226374,0.21216646754281163,0.07428451912015896,1775.8333333333335
자양4동,17810,9540,          0.99,1.16,8325,3751,65.0,123.0,95.0,44.0,4.09,1.46,5123.0,4416.379310344828,0.3271195957327344,15353.44827586207,1.8668763102725368,3.649635036496351,6.90623245367771,5.334081976417743,2.470522178551376,0.4505705705705706,0.21061201572150479,3233.6206896551726
구의1동,22040,12122,          0.91,0.56,11002,5591,91.0,97.0,128.0,39.0,7.01,2.46,6846.0,12224.999999999998,0.0481851179673321,39357.142857142855,1.8181818181818181,4.128856624319419,4.4010889292196005,5.807622504537205,1.7695099818511797,0.5081803308489365,0.25367513611615244,9983.92857142857
구의2동,26954,11693,          0.93,1.39,10455,3049,123.0,125.0,110.0,43.0,8.45,2.93,4321.0,3108.63309352518,0.0256733694442383,19391.36690647482,2.305139827247071,4.563330117978778,4.63753060770201,4.0810269347777695,1.5953105290494918,0.2916307986609278,0.11311864658306744,2193.5251798561153
구의3동,29317,12202,          0.91,1.02,11111,3110,158.0,116.0,130.0,31.0,7.18,2.51,4146.0,4064.705882352941,0.0169185114438721,28742.156862745098,2.402638911653827,5.389364532523792,3.9567486441313915,4.434287273595524,1.0574069652420097,0.27990279902799026,0.10608179554524678,3049.0196078431372
