행정동,위험지수_일반쓰레기,위험지수_재활용폐기물,위험지수_음식물류폐기물,지수순위_일반쓰레기,지수순위_재활용폐기물,지수순위_음식물류폐기물
화양동,0.24444783,0.18564743,0.16760164,6.0,14.0,14.0
군자동,0.2608245,0.24669644,0.22047123,2.0,6.0,12.0
중곡1동,0.19140872,0.301148,0.28040037,13.0,2.5,2.0
중곡2동,0.17915657,0.301148,0.2640528,14.0,2.5,5.0
중곡3동,0.17792614,0.301148,0.26612732,15.0,2.5,3.0
중곡4동,0.21819739,0.301148,0.28822404,10.0,2.5,1.0
능동,0.24974814,0.2715624,0.24762443,4.0,5.0,9.0
광장동,0.23018077,0.055110775,0.15718758,9.0,15.0,15.0
자양1동,0.24849665,0.24182779,0.26272923,5.0,8.5,6.0
자양2동,0.23951173,0.24182779,0.25527847,7.0,8.5,7.0
자양3동,0.2350152,0.24182779,0.23943266,8.0,8.5,11.0
자양4동,0.27121502,0.24182779,0.2657297,1.0,8.5,4.0
구의1동,0.2117303,0.20491883,0.24898104,11.0,12.0,8.0
구의2동,0.19637178,0.20491883,0.21618155,12.0,12.0,13.0
구의3동,0.25292736,0.20491883,0.24335812,3.0,12.0,10.0
